'Elapsed time','ECG I','ECG I filtered'
'hh:mm:ss.mmm','mV','mV'
'0:00.000',-0.08500000,-0.11500000
'0:00.002',-0.08000000,-0.11500000
'0:00.004',-0.07000000,-0.12000000
'0:00.006',-0.07500000,-0.12000000
'0:00.008',-0.09500000,-0.12000000
'0:00.010',-0.09000000,-0.12000000
'0:00.012',-0.10000000,-0.12000000
'0:00.014',-0.10000000,-0.11500000
'0:00.016',-0.10000000,-0.11500000
'0:00.018',-0.08500000,-0.11500000
'0:00.020',-0.06000000,-0.11000000
'0:00.022',-0.04500000,-0.11000000
'0:00.024',-0.05500000,-0.11000000
'0:00.026',-0.06000000,-0.11000000
'0:00.028',-0.07000000,-0.10500000
'0:00.030',-0.08000000,-0.10500000
'0:00.032',-0.08500000,-0.10500000
'0:00.034',-0.08000000,-0.10500000
'0:00.036',-0.07000000,-0.10000000
'0:00.038',-0.04000000,-0.10000000
'0:00.040',-0.05000000,-0.10000000
'0:00.042',-0.04500000,-0.10000000
'0:00.044',-0.04000000,-0.10000000
'0:00.046',-0.04000000,-0.10000000
'0:00.048',-0.05500000,-0.10000000
'0:00.050',-0.06000000,-0.10000000
'0:00.052',-0.05500000,-0.10000000
'0:00.054',-0.05500000,-0.09500000
'0:00.056',-0.05500000,-0.09500000
'0:00.058',-0.04500000,-0.09500000
'0:00.060',-0.04000000,-0.09500000
'0:00.062',-0.04500000,-0.09000000
'0:00.064',-0.04000000,-0.09000000
'0:00.066',-0.03000000,-0.09000000
'0:00.068',-0.03500000,-0.09000000
'0:00.070',-0.04500000,-0.08500000
'0:00.072',-0.05500000,-0.08500000
'0:00.074',-0.05500000,-0.08500000
'0:00.076',-0.05000000,-0.08500000
'0:00.078',-0.02000000,-0.08500000
'0:00.080',-0.01500000,-0.08000000
'0:00.082',-0.01000000,-0.08000000
'0:00.084',0.00500000,-0.07500000
'0:00.086',0.00000000,-0.07000000
'0:00.088',-0.00500000,-0.07000000
'0:00.090',-0.02500000,-0.06500000
'0:00.092',-0.03500000,-0.06500000
'0:00.094',-0.03000000,-0.06000000
'0:00.096',-0.03000000,-0.06000000
'0:00.098',-0.01500000,-0.06000000
'0:00.100',-0.00500000,-0.06000000
'0:00.102',0.00000000,-0.06500000
'0:00.104',0.01000000,-0.06500000
'0:00.106',0.02000000,-0.06000000
'0:00.108',0.00000000,-0.06000000
'0:00.110',-0.00500000,-0.05500000
'0:00.112',0.00500000,-0.05000000
'0:00.114',0.00500000,-0.05000000
'0:00.116',0.01000000,-0.04500000
'0:00.118',0.02500000,-0.04000000
'0:00.120',0.04000000,-0.03500000
'0:00.122',0.05500000,-0.03000000
'0:00.124',0.06000000,-0.02500000
'0:00.126',0.04500000,-0.02000000
'0:00.128',0.04000000,-0.01000000
'0:00.130',0.04500000,-0.00500000
'0:00.132',0.04000000,0.00500000
'0:00.134',0.04000000,0.01000000
'0:00.136',0.07000000,0.02000000
'0:00.138',0.07500000,0.02500000
'0:00.140',0.09000000,0.02500000
'0:00.142',0.10500000,0.03000000
'0:00.144',0.10500000,0.03000000
'0:00.146',0.11500000,0.03000000
'0:00.148',0.10500000,0.03500000
'0:00.150',0.10000000,0.03500000
'0:00.152',0.10000000,0.04000000
'0:00.154',0.09500000,0.04500000
'0:00.156',0.12500000,0.05500000
'0:00.158',0.15500000,0.06500000
'0:00.160',0.16000000,0.07500000
'0:00.162',0.16000000,0.08500000
'0:00.164',0.17500000,0.09500000
'0:00.166',0.17500000,0.10000000
'0:00.168',0.15500000,0.10500000
'0:00.170',0.16000000,0.11000000
'0:00.172',0.15000000,0.11500000
'0:00.174',0.15000000,0.12000000
'0:00.176',0.16000000,0.12500000
'0:00.178',0.18000000,0.12500000
'0:00.180',0.19000000,0.12500000
'0:00.182',0.19000000,0.12500000
'0:00.184',0.20000000,0.12500000
'0:00.186',0.19000000,0.12000000
'0:00.188',0.18000000,0.12000000
'0:00.190',0.17500000,0.11500000
'0:00.192',0.16500000,0.11000000
'0:00.194',0.16000000,0.10500000
'0:00.196',0.16500000,0.10500000
'0:00.198',0.15500000,0.10000000
'0:00.200',0.16500000,0.10000000
'0:00.202',0.16500000,0.10000000
'0:00.204',0.17000000,0.10000000
'0:00.206',0.14500000,0.09500000
'0:00.208',0.13500000,0.09000000
'0:00.210',0.11000000,0.08500000
'0:00.212',0.09000000,0.07500000
'0:00.214',0.07000000,0.06500000
'0:00.216',0.07500000,0.05000000
'0:00.218',0.08500000,0.04000000
'0:00.220',0.08500000,0.02500000
'0:00.222',0.07000000,0.01500000
'0:00.224',0.07000000,0.01000000
'0:00.226',0.05000000,0.00000000
'0:00.228',0.04000000,-0.00500000
'0:00.230',0.02500000,-0.01000000
'0:00.232',0.00500000,-0.01500000
'0:00.234',-0.00500000,-0.02000000
'0:00.236',0.00000000,-0.02500000
'0:00.238',0.00000000,-0.03500000
'0:00.240',0.00500000,-0.04500000
'0:00.242',0.01000000,-0.05500000
'0:00.244',0.00000000,-0.06000000
'0:00.246',0.01000000,-0.06500000
'0:00.248',0.01500000,-0.06500000
'0:00.250',0.03000000,-0.06000000
'0:00.252',0.03500000,-0.05000000
'0:00.254',0.04500000,-0.03500000
'0:00.256',0.06500000,-0.01500000
'0:00.258',0.08500000,0.00000000
'0:00.260',0.09000000,0.01500000
'0:00.262',0.12000000,0.02500000
'0:00.264',0.11500000,0.03000000
'0:00.266',0.09000000,0.03500000
'0:00.268',0.08500000,0.03500000
'0:00.270',0.07000000,0.03000000
'0:00.272',0.08000000,0.02500000
'0:00.274',0.08000000,0.02500000
'0:00.276',0.09000000,0.02500000
'0:00.278',0.09500000,0.02500000
'0:00.280',0.11000000,0.03000000
'0:00.282',0.11500000,0.03000000
'0:00.284',0.13000000,0.03500000
'0:00.286',0.11500000,0.04000000
'0:00.288',0.10000000,0.04500000
'0:00.290',0.09500000,0.05000000
'0:00.292',0.09500000,0.05000000
'0:00.294',0.09500000,0.05000000
'0:00.296',0.10000000,0.05000000
'0:00.298',0.11000000,0.05500000
'0:00.300',0.12000000,0.05500000
'0:00.302',0.12500000,0.06000000
'0:00.304',0.14000000,0.06000000
'0:00.306',0.13500000,0.06500000
'0:00.308',0.11500000,0.06500000
'0:00.310',0.11500000,0.07000000
'0:00.312',0.11500000,0.07000000
'0:00.314',0.11500000,0.07000000
'0:00.316',0.12500000,0.07000000
'0:00.318',0.13000000,0.07000000
'0:00.320',0.12500000,0.06500000
'0:00.322',0.14000000,0.06500000
'0:00.324',0.14000000,0.06500000
'0:00.326',0.14000000,0.06000000
'0:00.328',0.13000000,0.06000000
'0:00.330',0.10500000,0.06000000
'0:00.332',0.10000000,0.06500000
'0:00.334',0.10000000,0.06500000
'0:00.336',0.13000000,0.07000000
'0:00.338',0.14000000,0.07000000
'0:00.340',0.13500000,0.07000000
'0:00.342',0.15000000,0.07500000
'0:00.344',0.14500000,0.07500000
'0:00.346',0.13000000,0.07500000
'0:00.348',0.12500000,0.07500000
'0:00.350',0.12500000,0.07000000
'0:00.352',0.11500000,0.07000000
'0:00.354',0.12000000,0.07000000
'0:00.356',0.12500000,0.07000000
'0:00.358',0.14000000,0.06500000
'0:00.360',0.14000000,0.06500000
'0:00.362',0.15000000,0.06500000
'0:00.364',0.14500000,0.06500000
'0:00.366',0.14000000,0.06500000
'0:00.368',0.13500000,0.06500000
'0:00.370',0.14000000,0.06000000
'0:00.372',0.12500000,0.06000000
'0:00.374',0.12500000,0.06000000
'0:00.376',0.13500000,0.06500000
'0:00.378',0.14500000,0.06500000
'0:00.380',0.14500000,0.06500000
'0:00.382',0.14000000,0.07000000
'0:00.384',0.13500000,0.07000000
'0:00.386',0.12000000,0.07500000
'0:00.388',0.12000000,0.07500000
'0:00.390',0.11000000,0.07500000
'0:00.392',0.11500000,0.07500000
'0:00.394',0.12000000,0.07000000
'0:00.396',0.13500000,0.07000000
'0:00.398',0.13500000,0.06500000
'0:00.400',0.13000000,0.06500000
'0:00.402',0.13500000,0.06000000
'0:00.404',0.13000000,0.05500000
'0:00.406',0.11000000,0.05500000
'0:00.408',0.11000000,0.05500000
'0:00.410',0.11000000,0.05000000
'0:00.412',0.10500000,0.05000000
'0:00.414',0.11500000,0.05000000
'0:00.416',0.12500000,0.05000000
'0:00.418',0.13000000,0.05000000
'0:00.420',0.11500000,0.04500000
'0:00.422',0.12000000,0.04500000
'0:00.424',0.11500000,0.04500000
'0:00.426',0.10500000,0.04000000
'0:00.428',0.10000000,0.03500000
'0:00.430',0.10500000,0.03500000
'0:00.432',0.09000000,0.03000000
'0:00.434',0.10000000,0.03000000
'0:00.436',0.10500000,0.02500000
'0:00.438',0.11000000,0.02500000
'0:00.440',0.12000000,0.03000000
'0:00.442',0.13500000,0.03000000
'0:00.444',0.12000000,0.03500000
'0:00.446',0.11000000,0.04000000
'0:00.448',0.09500000,0.04500000
'0:00.450',0.10000000,0.04500000
'0:00.452',0.09500000,0.04500000
'0:00.454',0.10000000,0.04500000
'0:00.456',0.11000000,0.04500000
'0:00.458',0.11000000,0.04500000
'0:00.460',0.11500000,0.04500000
'0:00.462',0.11500000,0.04500000
'0:00.464',0.09500000,0.05000000
'0:00.466',0.08000000,0.05000000
'0:00.468',0.07500000,0.05000000
'0:00.470',0.07000000,0.05000000
'0:00.472',0.07000000,0.04500000
'0:00.474',0.07500000,0.04000000
'0:00.476',0.09000000,0.03500000
'0:00.478',0.08500000,0.03000000
'0:00.480',0.10000000,0.02000000
'0:00.482',0.12500000,0.02000000
